torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 103, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 104, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 105, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 106, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 107, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 108, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 109, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 110, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 111, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 112, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 113, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 114, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.15, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 115, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 116, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 117, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 118, Train Loss = 0.12, Train Recon Loss = 0.12, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 119, Train Loss = 0.12, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.17, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.19, lr = 0.00100
Epoch: 120, Train Loss = 0.12, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 121, Train Loss = 0.12, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 122, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 123, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 124, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 125, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.12, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.17, lr = 0.00100
Epoch: 126, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.11, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 127, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.11, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
Epoch: 128, Train Loss = 0.11, Train Recon Loss = 0.11, Train Masked Recon Loss = 0.11, Valid loss = 0.16, Valid Recon Loss = 0.14, Valid Masked Recon Loss = 0.18, lr = 0.00100
